origin,destination,amount,type,src_country,dst_country
C2079,M3187,985647.8654021493,CASH_OUT,IN,GB
C6105,M3780,494778.03633958916,TRANSFER,BR,ZA
C3468,M3887,153778.66180774322,CASH_OUT,ZA,FR
C7508,M2019,718806.616168289,TRANSFER,IN,FR
C5504,M8018,712531.7749612924,TRANSFER,GR,ZA
C3891,M4212,532987.4351498357,TRANSFER,IN,JP
C2693,M3504,128482.4692723693,CASH_OUT,ZA,US
C8097,M2271,435148.4220962264,DEBIT,ZA,GB
C3150,M1969,300119.7136205391,CREDIT,JP,ZA
C6164,M3688,762906.3463504837,PAYMENT,GR,GR
C7125,M8480,132538.82086207476,CREDIT,FR,ZA
C7126,M3403,689454.8143773339,CREDIT,GR,FR
C3099,M3904,700161.0348276045,CREDIT,GR,JP
C2471,M5012,349068.80736014305,CASH_OUT,IN,GB
C2400,M8243,586752.6441768748,DEBIT,AU,AU
C8585,M1320,273057.68149291945,DEBIT,IN,ZA
C4972,M4239,295387.7907122835,TRANSFER,GB,GR
C3408,M5273,14251.963002287377,CREDIT,ZA,AU
C6409,M7759,670358.7579519041,DEBIT,IN,GR
C4537,M1095,221586.42868754783,DEBIT,JP,GB
C6873,M5591,350027.4473699207,CREDIT,US,IN
C5747,M8023,28336.016070883084,TRANSFER,GR,JP
C2093,M8879,954379.2976358164,DEBIT,US,FR
C5904,M2664,474495.1497457327,TRANSFER,FR,GB
C4205,M6916,365085.81779348466,CASH_OUT,JP,AU
C8191,M7220,396694.85382426274,DEBIT,FR,FR
C3882,M2592,859134.571551247,CREDIT,GR,GB
C4669,M8707,934419.4161156439,CREDIT,JP,BR
C2192,M1289,318449.042928265,CASH_OUT,BR,BR
C5271,M5966,974547.2428676033,PAYMENT,BR,US
C3587,M2180,711371.2581734982,PAYMENT,GB,GB
C4049,M2166,542146.1047977047,CASH_OUT,BR,US
C2529,M2384,571232.4730552968,CREDIT,US,GR
C7195,M5341,547724.4767079094,CREDIT,GR,GB
C8954,M6974,776831.071354351,TRANSFER,ZA,JP
C4043,M6798,5907.839952597151,CASH_OUT,GB,US
C6733,M5407,272218.10928115406,DEBIT,AU,ZA
C3229,M1455,525821.9135917525,TRANSFER,AU,IN
C5118,M8552,284555.6574553191,CREDIT,AU,US
C3431,M6656,148014.3394379808,PAYMENT,GB,AU
C6741,M6934,256800.9451445268,CASH_OUT,GB,US
C5411,M4600,580174.0743907851,TRANSFER,GR,JP
C7840,M4847,58673.74141434628,PAYMENT,GR,AU
C6363,M6447,446905.55921835103,TRANSFER,ZA,ZA
C7823,M4623,707849.8515550889,DEBIT,GB,JP
